Station Name,Measurement Timestamp,Wind Direction,Wind Speed,Maximum Wind Speed,Heading
63rd Street Weather Station,2021-09-02 01:00:00.370146,73,5.4,7.4,351.0
Oak Street Weather Station,2021-11-19 03:59:59.517548,298,1.0,2.1,357.0
63rd Street Weather Station,2021-09-15 06:59:59.996667,329,1.2,3.3,351.0
63rd Street Weather Station,2021-09-17 19:59:59.320228,268,2.6,4.4,352.0
Foster Weather Station,2021-07-28 23:00:00.176271,0,3.3,0.0,
63rd Street Weather Station,2021-08-29 16:59:59.525763,256,3.8,5.7,351.0
Foster Weather Station,2021-05-19 18:59:59.695061,0,3.3,0.0,
Foster Weather Station,2021-11-12 00:00:00.514167,0,3.3,0.0,
63rd Street Weather Station,2021-10-14 21:00:00.216163,240,2.1,2.9,351.0
Foster Weather Station,2021-06-06 14:59:59.335668,0,3.3,0.0,
Oak Street Weather Station,2021-09-04 01:59:59.229045,107,1.7,3.1,357.0
Foster Weather Station,2021-05-31 13:59:59.637299,0,3.3,0.0,
63rd Street Weather Station,2021-07-12 17:59:59.140398,32,4.3,5.7,351.0
Oak Street Weather Station,2021-07-12 00:00:00.221695,61,2.7,3.4,357.0
Oak Street Weather Station,2021-06-21 01:00:00.113591,245,0.8,2.2,357.0
Oak Street Weather Station,2021-07-07 14:00:00.382051,45,1.4,2.7,358.0
63rd Street Weather Station,2021-10-17 20:59:59.821235,252,1.5,1.8,351.0
Foster Weather Station,2021-09-19 13:59:59.523656,0,3.3,0.0,
Oak Street Weather Station,2021-07-16 07:59:59.520693,58,2.5,3.5,358.0
Foster Weather Station,2021-11-04 04:00:00.783605,0,3.3,0.0,
Foster Weather Station,2021-12-11 13:00:00.533832,0,3.3,0.0,
63rd Street Weather Station,2021-09-23 13:00:00.260412,343,3.5,6.9,351.0
63rd Street Weather Station,2021-06-14 16:59:59.427972,64,1.2,2.6,349.0
63rd Street Weather Station,2021-08-05 10:00:00.216185,211,1.9,4.3,352.0
Oak Street Weather Station,2021-07-16 15:00:00.289759,14,4.0,5.3,358.0
Oak Street Weather Station,2021-07-07 07:00:00.470682,320,0.7,1.7,358.0
Foster Weather Station,2021-06-15 17:00:00.088192,0,3.3,0.0,
Oak Street Weather Station,2021-05-30 11:00:00.395532,98,1.6,2.0,358.0
Foster Weather Station,2021-10-07 13:59:59.152636,0,3.3,0.0,
63rd Street Weather Station,2021-08-03 10:00:00.599056,76,2.1,3.0,352.0
63rd Street Weather Station,2021-08-30 18:59:59.602822,97,1.4,2.3,351.0
Foster Weather Station,2021-10-11 21:00:00.569150,0,3.3,0.0,
