Station Name,Measurement Timestamp,Humidity
Oak Street Weather Station,2021-08-01 21:00:00.221531,72
Oak Street Weather Station,2021-12-10 15:00:00.416682,88
Oak Street Weather Station,2021-12-16 04:00:00.795226,53
63rd Street Weather Station,2021-09-25 20:00:00.069282,34
Oak Street Weather Station,2021-10-03 10:59:59.869377,78
Oak Street Weather Station,2021-11-17 12:59:59.465889,88
63rd Street Weather Station,2021-06-18 01:59:59.343764,51
Oak Street Weather Station,2021-10-30 02:59:59.546836,86
Oak Street Weather Station,2021-12-13 23:00:00.503662,76
Foster Weather Station,2021-10-08 23:00:00.427431,85
Oak Street Weather Station,2021-12-05 03:00:00.101280,52
Foster Weather Station,2021-11-24 05:00:00.425489,48
63rd Street Weather Station,2021-09-29 08:59:59.811003,71
63rd Street Weather Station,2021-12-07 08:59:59.879282,51
Oak Street Weather Station,2021-06-20 14:59:59.537953,75
Oak Street Weather Station,2021-07-08 11:59:59.100795,86
63rd Street Weather Station,2021-09-02 09:00:00.468699,64
63rd Street Weather Station,2021-09-14 21:00:00.835090,64
Oak Street Weather Station,2021-06-29 23:00:00.716251,69
Oak Street Weather Station,2021-08-28 16:59:59.534706,58
Foster Weather Station,2021-06-17 20:59:59.717847,33
Foster Weather Station,2021-10-23 03:59:59.850995,58
Foster Weather Station,2021-10-13 20:59:59.890449,82
Oak Street Weather Station,2021-09-30 04:00:00.378257,57
Foster Weather Station,2021-06-07 17:00:00.384547,75
63rd Street Weather Station,2021-07-31 13:00:00.689885,69
Foster Weather Station,2021-11-24 14:59:59.595579,49
Foster Weather Station,2021-08-26 21:59:59.860050,88
Oak Street Weather Station,2021-06-28 07:00:00.483317,86
Foster Weather Station,2021-09-13 23:00:00.227930,74
63rd Street Weather Station,2021-06-27 22:59:59.692911,94
Foster Weather Station,2021-08-11 22:59:59.342849,73
Foster Weather Station,2021-05-28 23:59:59.296686,57
Foster Weather Station,2021-08-28 14:00:00.268769,50
63rd Street Weather Station,2021-07-01 15:59:59.401796,78
Oak Street Weather Station,2021-12-16 08:00:00.757814,62
63rd Street Weather Station,2021-10-03 08:00:00.744461,98
Foster Weather Station,2021-06-21 13:59:59.441252,41
63rd Street Weather Station,2021-06-26 18:00:00.237789,100
Foster Weather Station,2021-06-08 09:59:59.199778,74
Foster Weather Station,2021-08-26 00:59:59.525152,82
Oak Street Weather Station,2021-05-22 16:59:59.140880,48
Foster Weather Station,2021-11-11 07:59:59.973097,72
63rd Street Weather Station,2021-07-13 20:59:59.198176,76
63rd Street Weather Station,2021-12-14 23:59:59.337111,97
Foster Weather Station,2021-06-23 07:59:59.105585,63
Oak Street Weather Station,2021-07-07 04:59:59.198000,72
Oak Street Weather Station,2021-07-08 22:00:00.318395,81
Oak Street Weather Station,2021-06-06 19:00:00.400776,48
63rd Street Weather Station,2021-07-17 15:00:00.692194,91
Foster Weather Station,2021-07-25 23:00:00.466138,49
Foster Weather Station,2021-10-16 21:00:00.348173,44
Foster Weather Station,2021-05-27 03:00:00.314522,76
Foster Weather Station,2021-08-27 08:59:59.619468,62
Oak Street Weather Station,2021-09-25 21:59:59.664415,33
63rd Street Weather Station,2021-11-13 01:00:00.244161,85
Foster Weather Station,2021-11-19 04:59:59.311037,54
Oak Street Weather Station,2021-08-30 05:00:00.869638,67
63rd Street Weather Station,2021-06-07 11:59:59.436713,81
Foster Weather Station,2021-09-02 05:00:00.176734,68
63rd Street Weather Station,2021-08-31 11:59:59.708816,66
Foster Weather Station,2021-06-17 00:59:59.757924,68
Foster Weather Station,2021-09-09 14:00:00.705819,53
Oak Street Weather Station,2021-08-26 02:00:00.149839,81
Foster Weather Station,2021-07-22 20:59:59.889321,80
Foster Weather Station,2021-06-26 01:00:00.287778,89
Foster Weather Station,2021-11-03 20:00:00.396979,43
Foster Weather Station,2021-09-17 09:00:00.367007,66
63rd Street Weather Station,2021-08-24 18:59:59.503244,88
Oak Street Weather Station,2021-09-09 09:59:59.578311,74
Foster Weather Station,2021-06-08 13:59:59.828665,76
63rd Street Weather Station,2021-07-08 10:59:59.840187,89
Oak Street Weather Station,2021-06-24 02:59:59.363202,52
Foster Weather Station,2021-06-02 14:59:59.500667,71
63rd Street Weather Station,2021-11-02 22:59:59.575700,60
63rd Street Weather Station,2021-10-19 03:00:00.623110,68
63rd Street Weather Station,2021-11-03 07:59:59.675617,68
Oak Street Weather Station,2021-07-19 18:59:59.747244,59
Oak Street Weather Station,2021-08-10 16:00:00.243260,56
63rd Street Weather Station,2021-11-27 14:59:59.614974,73
Foster Weather Station,2021-09-28 21:00:00.101390,75
Foster Weather Station,2021-11-26 08:00:00.130178,54
Oak Street Weather Station,2021-07-20 11:00:00.134945,53
Foster Weather Station,2021-09-29 17:59:59.368550,81
63rd Street Weather Station,2021-08-06 04:00:00.074476,68
Oak Street Weather Station,2021-06-20 09:59:59.848105,84
63rd Street Weather Station,2021-07-09 02:00:00.605182,79
Foster Weather Station,2021-10-08 13:00:00.080226,78
Oak Street Weather Station,2021-06-26 03:59:59.195125,89
63rd Street Weather Station,2021-06-29 18:59:59.959624,67
Foster Weather Station,2021-07-05 13:00:00.477142,42
Oak Street Weather Station,2021-05-20 19:59:59.810260,49
63rd Street Weather Station,2021-09-19 15:00:00.397794,82
Foster Weather Station,2021-10-01 16:59:59.365607,65
Foster Weather Station,2021-06-05 02:59:59.489462,45
Foster Weather Station,2021-10-07 16:59:59.558072,84
Oak Street Weather Station,2021-07-10 03:00:00.410635,78
63rd Street Weather Station,2021-07-14 15:00:00.876830,61
Oak Street Weather Station,2021-08-05 10:00:00.463453,49
Oak Street Weather Station,2021-05-22 21:00:00.102186,46
Foster Weather Station,2021-08-30 15:00:00.044989,50
Foster Weather Station,2021-10-27 05:00:00.803585,71
Oak Street Weather Station,2021-12-11 09:59:59.152332,68
Foster Weather Station,2021-07-14 01:00:00.186032,74
Foster Weather Station,2021-11-15 20:00:00.233418,65
Oak Street Weather Station,2021-12-16 22:59:59.784039,52
Oak Street Weather Station,2021-12-04 17:59:59.900187,22
Oak Street Weather Station,2021-06-27 01:59:59.621826,85
Oak Street Weather Station,2021-06-11 05:59:59.967502,90
Oak Street Weather Station,2021-07-15 17:00:00.469763,84
Oak Street Weather Station,2021-12-04 05:59:59.424250,81
63rd Street Weather Station,2021-08-17 21:59:59.193813,92
Foster Weather Station,2021-11-05 04:00:00.177870,59
Oak Street Weather Station,2021-06-02 04:00:00.385662,59
