Station Name,Measurement Timestamp,Rain Intensity,Interval Rain,Total Rain
Oak Street Weather Station,2021-11-15 06:00:00.155355,0.0,0.0,36.8
63rd Street Weather Station,2021-09-22 20:00:00.291565,0.0,0.0,518.3
Foster Weather Station,2021-10-21 08:00:00.759844,,0.0,
Oak Street Weather Station,2021-09-29 23:00:00.504971,0.0,0.0,214.6
Oak Street Weather Station,2021-11-22 22:00:00.310406,0.0,0.0,41.1
Foster Weather Station,2021-12-03 04:59:59.823030,,0.0,
Foster Weather Station,2021-11-26 16:00:00.008241,,0.0,
Oak Street Weather Station,2021-09-25 02:59:59.136150,0.0,0.0,214.6
Foster Weather Station,2021-11-07 05:00:00.475812,,0.0,
Oak Street Weather Station,2021-10-12 15:59:59.300742,0.0,0.0,257.1
63rd Street Weather Station,2021-11-25 00:59:59.284336,0.0,0.3,107.1
Foster Weather Station,2021-11-22 18:00:00.023813,,0.0,
Foster Weather Station,2021-05-27 17:00:00.640003,,0.0,
Oak Street Weather Station,2021-09-04 08:00:00.400619,0.0,0.0,199.8
Oak Street Weather Station,2021-10-18 17:00:00.016795,0.0,0.0,269.7
63rd Street Weather Station,2021-06-05 05:59:59.292011,0.0,0.0,3.5
Foster Weather Station,2021-10-28 10:00:00.394461,,0.0,
Foster Weather Station,2021-09-27 19:00:00.580383,,0.0,
Oak Street Weather Station,2021-08-28 05:59:59.801079,0.0,0.0,195.8
Oak Street Weather Station,2021-10-27 08:00:00.776077,0.0,0.0,2.6
63rd Street Weather Station,2021-11-18 03:00:00.772605,0.0,0.0,103.0
63rd Street Weather Station,2021-10-20 07:59:59.407729,0.0,0.0,654.8
63rd Street Weather Station,2021-08-30 16:00:00.578692,0.0,0.0,487.1
Foster Weather Station,2021-06-18 10:59:59.919863,,0.0,
Foster Weather Station,2021-11-06 00:59:59.547490,,0.0,
Oak Street Weather Station,2021-07-17 12:59:59.689198,0.0,0.0,132.3
Oak Street Weather Station,2021-11-27 03:59:59.602160,0.0,0.0,42.8
Foster Weather Station,2021-06-20 17:59:59.875686,,0.0,
63rd Street Weather Station,2021-11-18 11:00:00.095144,0.0,0.0,103.0
